W       Q2	Apv_ave         ApvErr  rate    Abeam_ave       AbeamErr
1.123   0.616	4.78709e-05     10.7181 121703  7.28359e-05     7.04437
1.223   0.609	4.76166e-05     4.82214 607688  5.25096e-05     4.3728
1.323   0.573	4.6623e-05      5.27851 529001  4.48581e-05     5.48618
1.423   0.542	4.38014e-05     5.21747 613452  4.1372e-05      5.52385
1.523   0.553	4.1865e-05      5.87354 529878  3.67583e-05     6.68953
1.623   0.502	4.14425e-05     6.18866 487071  3.29183e-05     7.79123
1.723   0.484	3.89572e-05     5.23012 771755  3.06206e-05     6.65404
1.823   0.457	3.63267e-05     7.86415 392575  3.36021e-05     8.50181
1.923   0.418	3.49551e-05     7.18242 508296  3.34124e-05     7.51404
2.023   0.394	3.18659e-05     8.81241 406289  3.05982e-05     9.17754
2.123   0.347	2.9583e-05      11.7184 266598  2.84191e-05     12.1983
2.223   0.24	2.51047e-05     40.4126 31126   2.44586e-05     41.4802
