W       Q2	Apv_ave         ApvErr  rate    Abeam_ave       AbeamErr
1.123   0.598	4.73354e-05     9.14122 128275  7.17239e-05     6.03289
1.223   0.578	4.63951e-05     4.28369 608052  5.15659e-05     3.85415
1.323   0.534	4.399e-05       6.84462 264920  4.25987e-05     7.06816
1.423   0.531	4.31371e-05     8.2426  189972  4.08238e-05     8.70967
1.523   0.515	4.18141e-05     7.04265 276952  3.64731e-05     8.07396
1.623   0.497	4.02599e-05     7.60715 256055  3.22045e-05     9.50993
1.723   0.475	3.83675e-05     6.54825 380491  3.03712e-05     8.2723
1.823   0.432	3.58045e-05     7.51424 331801  3.31907e-05     8.10598
1.923   0.408	3.36386e-05     10.6664 186555  3.22531e-05     11.1246
2.023   0.386	3.16197e-05     11.5024 181562  3.03716e-05     11.9752
2.123   0.337	2.94972e-05     13.2008 158402  2.83498e-05     13.7351
2.223   0.234	2.54625e-05     47.4432 16457   2.47812e-05     48.7475
